fuel,total_mw
Battery,42945.33966400002
Battery/Other,108.0
Battery/Solar,23705.555200000006
Battery/Solar/Wind Turbine,204.16
Battery/Wind Turbine,1567.8069999999998
Geothermal,53.0
Geothermal/Battery,9.435
Gravity via Rail,44.0
Natural Gas,655.7
Natural Gas/Battery,458.1699966430664
Pumped-Storage hydro,500.0
Pumped-Storage hydro/Battery,1417.0
Solar,895.4399999999999
Solar/Battery,22500.023047000002
Water,5.0
Wind Turbine,3688.469
Wind Turbine/Battery,1129.4
Wind Turbine/Solar/Battery,620.98
